{u'Zeit udp2mqtt': u'49.37189', u'Topic Change': u'49.37476', 'Log Zeit': '16:03:49.377996', u'Messwert': u"b'108'"}
{u'Zeit udp2mqtt': u'49.40439', u'Topic Change': u'49.40730', 'Log Zeit': '16:03:49.410185', u'Messwert': u"b'107'"}
{u'Zeit udp2mqtt': u'49.43689', u'Topic Change': u'49.43967', 'Log Zeit': '16:03:49.443713', u'Messwert': u"b'106'"}
{u'Zeit udp2mqtt': u'49.46944', u'Topic Change': u'49.47285', 'Log Zeit': '16:03:49.475874', u'Messwert': u"b'105'"}
{u'Zeit udp2mqtt': u'49.50189', u'Topic Change': u'49.50785', 'Log Zeit': '16:03:49.510980', u'Messwert': u"b'104'"}
{u'Zeit udp2mqtt': u'49.53430', u'Topic Change': u'49.54158', 'Log Zeit': '16:03:49.545791', u'Messwert': u"b'103'"}
{u'Zeit udp2mqtt': u'49.56674', u'Topic Change': u'49.56969', 'Log Zeit': '16:03:49.574169', u'Messwert': u"b'102'"}
{u'Zeit udp2mqtt': u'49.59922', u'Topic Change': u'49.60209', 'Log Zeit': '16:03:49.606598', u'Messwert': u"b'101'"}
{u'Zeit udp2mqtt': u'49.63179', u'Topic Change': u'49.63503', 'Log Zeit': '16:03:49.639078', u'Messwert': u"b'100'"}
{u'Zeit udp2mqtt': u'49.66468', u'Topic Change': u'49.66789', 'Log Zeit': '16:03:49.672335', u'Messwert': u"b'99'"}
{u'Zeit udp2mqtt': u'49.69730', u'Topic Change': u'49.70237', 'Log Zeit': '16:03:49.705874', u'Messwert': u"b'98'"}
{u'Zeit udp2mqtt': u'49.72981', u'Topic Change': u'49.73353', 'Log Zeit': '16:03:49.736599', u'Messwert': u"b'97'"}
{u'Zeit udp2mqtt': u'49.76251', u'Topic Change': u'49.76595', 'Log Zeit': '16:03:49.768726', u'Messwert': u"b'96'"}
{u'Zeit udp2mqtt': u'49.79495', u'Topic Change': u'49.79794', 'Log Zeit': '16:03:49.800557', u'Messwert': u"b'95'"}
{u'Zeit udp2mqtt': u'49.82750', u'Topic Change': u'49.83084', 'Log Zeit': '16:03:49.833483', u'Messwert': u"b'94'"}
{u'Zeit udp2mqtt': u'49.85998', u'Topic Change': u'49.86277', 'Log Zeit': '16:03:49.865679', u'Messwert': u"b'93'"}
{u'Zeit udp2mqtt': u'49.89246', u'Topic Change': u'49.89525', 'Log Zeit': '16:03:49.898274', u'Messwert': u"b'92'"}
{u'Zeit udp2mqtt': u'49.92497', u'Topic Change': u'49.92787', 'Log Zeit': '16:03:49.931274', u'Messwert': u"b'91'"}
{u'Zeit udp2mqtt': u'49.95745', u'Topic Change': u'49.96024', 'Log Zeit': '16:03:49.963051', u'Messwert': u"b'90'"}
{u'Zeit udp2mqtt': u'49.98993', u'Topic Change': u'49.99277', 'Log Zeit': '16:03:49.996064', u'Messwert': u"b'89'"}
{u'Zeit udp2mqtt': u'50.02240', u'Topic Change': u'50.02543', 'Log Zeit': '16:03:50.030167', u'Messwert': u"b'88'"}
{u'Zeit udp2mqtt': u'50.05490', u'Topic Change': u'50.05793', 'Log Zeit': '16:03:50.061734', u'Messwert': u"b'87'"}
{u'Zeit udp2mqtt': u'50.08738', u'Topic Change': u'50.09044', 'Log Zeit': '16:03:50.094481', u'Messwert': u"b'86'"}
{u'Zeit udp2mqtt': u'50.11988', u'Topic Change': u'50.12324', 'Log Zeit': '16:03:50.127990', u'Messwert': u"b'85'"}
{u'Zeit udp2mqtt': u'50.15241', u'Topic Change': u'50.15589', 'Log Zeit': '16:03:50.160087', u'Messwert': u"b'84'"}
{u'Zeit udp2mqtt': u'50.18607', u'Topic Change': u'50.18966', 'Log Zeit': '16:03:50.193809', u'Messwert': u"b'83'"}
{u'Zeit udp2mqtt': u'50.21884', u'Topic Change': u'50.22215', 'Log Zeit': '16:03:50.226706', u'Messwert': u"b'82'"}
{u'Zeit udp2mqtt': u'50.25142', u'Topic Change': u'50.25483', 'Log Zeit': '16:03:50.258563', u'Messwert': u"b'81'"}
{u'Zeit udp2mqtt': u'50.28412', u'Topic Change': u'50.28771', 'Log Zeit': '16:03:50.291259', u'Messwert': u"b'80'"}
{u'Zeit udp2mqtt': u'50.31638', u'Topic Change': u'50.31916', 'Log Zeit': '16:03:50.322276', u'Messwert': u"b'79'"}
